"imp","sex","model","log_or","log_or_se","term_present","n_total","n_no_dm","n_dm"
1,"Men","Age",0.123005273576798,0.0989432011836768,TRUE,4030,3383,647
1,"Men","Model1",0.0912862836146103,0.0996633756086876,TRUE,4030,3383,647
1,"Men","Model2",0.0473702360427946,0.102078688978454,TRUE,4030,3383,647
2,"Men","Age",0.201033220775921,0.0975317260824913,TRUE,4059,3402,657
2,"Men","Model1",0.180092986376652,0.0978170867696787,TRUE,4059,3402,657
2,"Men","Model2",0.140558392194723,0.10014040432479,TRUE,4059,3402,657
3,"Men","Age",0.334456647759731,0.0938569404417619,TRUE,4068,3410,658
3,"Men","Model1",0.31298105789599,0.0942610011230893,TRUE,4068,3410,658
3,"Men","Model2",0.26901523824371,0.096711461589198,TRUE,4068,3410,658
4,"Men","Age",0.379739906657462,0.0919846857702864,TRUE,4055,3400,655
4,"Men","Model1",0.368534100432723,0.0923981258258169,TRUE,4055,3400,655
4,"Men","Model2",0.313418328921212,0.0951954526303118,TRUE,4055,3400,655
5,"Men","Age",0.197711873128378,0.0918504434163156,TRUE,4047,3389,658
5,"Men","Model1",0.174891873561399,0.0922740694878869,TRUE,4047,3389,658
5,"Men","Model2",0.115061231510187,0.0951733823341906,TRUE,4047,3389,658
6,"Men","Age",0.22272494517906,0.0944454537249132,TRUE,4054,3399,655
6,"Men","Model1",0.199223707098978,0.0950674094724901,TRUE,4054,3399,655
6,"Men","Model2",0.139550105327348,0.0979728040850747,TRUE,4054,3399,655
7,"Men","Age",0.220071564304434,0.0980524183256238,TRUE,4037,3380,657
7,"Men","Model1",0.195301930222099,0.0985117456060821,TRUE,4037,3380,657
7,"Men","Model2",0.135322876173447,0.100935849473139,TRUE,4037,3380,657
8,"Men","Age",0.431483240476301,0.090931623380978,TRUE,4059,3405,654
8,"Men","Model1",0.418211580355776,0.0914885318179906,TRUE,4059,3405,654
8,"Men","Model2",0.362809481074894,0.0940688162257429,TRUE,4059,3405,654
9,"Men","Age",0.252981975991282,0.0938537612700281,TRUE,4046,3403,643
9,"Men","Model1",0.234718302114312,0.0942219908693545,TRUE,4046,3403,643
9,"Men","Model2",0.178297612645905,0.0969422968483082,TRUE,4046,3403,643
10,"Men","Age",0.366252170157632,0.0989950848460773,TRUE,4045,3388,657
10,"Men","Model1",0.335565076775016,0.0994658232738405,TRUE,4045,3388,657
10,"Men","Model2",0.304290918400932,0.102630060868704,TRUE,4045,3388,657
11,"Men","Age",0.225382399503701,0.0998357685562238,TRUE,4048,3396,652
11,"Men","Model1",0.193309771152632,0.100316720412868,TRUE,4048,3396,652
11,"Men","Model2",0.153681329107091,0.103367678315047,TRUE,4048,3396,652
12,"Men","Age",0.347594291824791,0.0892769226384017,TRUE,4045,3384,661
12,"Men","Model1",0.330403188749184,0.0898475092550984,TRUE,4045,3384,661
12,"Men","Model2",0.294205166141463,0.093223630918233,TRUE,4045,3384,661
13,"Men","Age",0.210912549493129,0.0982740152884149,TRUE,4046,3387,659
13,"Men","Model1",0.183832602227405,0.0986947227918557,TRUE,4046,3387,659
13,"Men","Model2",0.131056839177715,0.101072243676567,TRUE,4046,3387,659
14,"Men","Age",0.273053697449005,0.0970339283980592,TRUE,4036,3382,654
14,"Men","Model1",0.238177712551749,0.0975953620968761,TRUE,4036,3382,654
14,"Men","Model2",0.183653513252203,0.10064353698254,TRUE,4036,3382,654
15,"Men","Age",0.340124716310948,0.0998873393298538,TRUE,4045,3398,647
15,"Men","Model1",0.313182013549114,0.100262726036354,TRUE,4045,3398,647
15,"Men","Model2",0.256662694358971,0.103340039930173,TRUE,4045,3398,647
16,"Men","Age",0.367908637045653,0.0920873380592366,TRUE,4055,3387,668
16,"Men","Model1",0.345853438026047,0.0925337440900811,TRUE,4055,3387,668
16,"Men","Model2",0.288115714241497,0.0948549606283012,TRUE,4055,3387,668
17,"Men","Age",0.411339397575882,0.0941499813450514,TRUE,4042,3392,650
17,"Men","Model1",0.387121208864555,0.0946295634890579,TRUE,4042,3392,650
17,"Men","Model2",0.338054594385861,0.0964506617504479,TRUE,4042,3392,650
18,"Men","Age",0.230912973322346,0.0944489673714166,TRUE,4046,3388,658
18,"Men","Model1",0.205587497691603,0.0949119192788484,TRUE,4046,3388,658
18,"Men","Model2",0.143671750453674,0.0975093841752931,TRUE,4046,3388,658
19,"Men","Age",0.339234269761819,0.0920724435836778,TRUE,4036,3390,646
19,"Men","Model1",0.318249720119845,0.0926152990756573,TRUE,4036,3390,646
19,"Men","Model2",0.30294080153185,0.0949454633050665,TRUE,4036,3390,646
20,"Men","Age",0.217509885367548,0.0991720456624263,TRUE,4047,3389,658
20,"Men","Model1",0.193028317661071,0.0996808762008512,TRUE,4047,3389,658
20,"Men","Model2",0.139930847285356,0.102280950721521,TRUE,4047,3389,658
21,"Men","Age",0.251567000054636,0.0927440570077919,TRUE,4047,3396,651
21,"Men","Model1",0.231586704149127,0.0931160023350007,TRUE,4047,3396,651
21,"Men","Model2",0.192920723313016,0.0957441561542192,TRUE,4047,3396,651
22,"Men","Age",0.278115444502795,0.09869112101094,TRUE,4040,3384,656
22,"Men","Model1",0.245161378941595,0.0992147018211894,TRUE,4040,3384,656
22,"Men","Model2",0.209190080002226,0.101572165735239,TRUE,4040,3384,656
23,"Men","Age",0.198081790104892,0.102262520434243,TRUE,4053,3402,651
23,"Men","Model1",0.177398738949844,0.102652954192446,TRUE,4053,3402,651
23,"Men","Model2",0.130917575047058,0.105590307474702,TRUE,4053,3402,651
24,"Men","Age",0.349595032631514,0.0958321594520722,TRUE,4034,3390,644
24,"Men","Model1",0.329981018299787,0.0962522075463171,TRUE,4034,3390,644
24,"Men","Model2",0.276024002262835,0.0986546596624592,TRUE,4034,3390,644
25,"Men","Age",0.190955670335733,0.0980526135338153,TRUE,4042,3382,660
25,"Men","Model1",0.16687965125214,0.0983700675467526,TRUE,4042,3382,660
25,"Men","Model2",0.113090579063331,0.10112629998052,TRUE,4042,3382,660
26,"Men","Age",0.235687646120743,0.0962758184660405,TRUE,4038,3389,649
26,"Men","Model1",0.205461940822931,0.0967178215317098,TRUE,4038,3389,649
26,"Men","Model2",0.17631776410956,0.0987432709992263,TRUE,4038,3389,649
27,"Men","Age",0.256558477002847,0.0941735806273679,TRUE,4044,3402,642
27,"Men","Model1",0.229766617062278,0.0949223639614219,TRUE,4044,3402,642
27,"Men","Model2",0.166311484876931,0.0974854445361101,TRUE,4044,3402,642
28,"Men","Age",0.235859692456238,0.0970159229164574,TRUE,4053,3396,657
28,"Men","Model1",0.203065777641305,0.0975426385431432,TRUE,4053,3396,657
28,"Men","Model2",0.148348849402734,0.0999589735772816,TRUE,4053,3396,657
29,"Men","Age",0.247104616220155,0.0970367060046547,TRUE,4058,3395,663
29,"Men","Model1",0.223002405813067,0.097465299329472,TRUE,4058,3395,663
29,"Men","Model2",0.170002196499421,0.0996374247421111,TRUE,4058,3395,663
30,"Men","Age",0.354741871355902,0.0939359733288278,TRUE,4048,3395,653
30,"Men","Model1",0.328289769458022,0.0943618421517779,TRUE,4048,3395,653
30,"Men","Model2",0.269381786214798,0.0971303905543424,TRUE,4048,3395,653
