"imp","sex","model","log_or","log_or_se","term_present","n_total","n_no_dm","n_dm"
1,"Women","Age",0.135175659550444,0.0903817633046153,TRUE,4240,3383,857
1,"Women","Model1",0.12447703256797,0.0917620155840919,TRUE,4240,3383,857
1,"Women","Model2",0.0513402263401579,0.0936455657346084,TRUE,4240,3383,857
2,"Women","Age",0.144170301939188,0.0906112015456285,TRUE,4240,3402,838
2,"Women","Model1",0.142514191044515,0.0919417952325379,TRUE,4240,3402,838
2,"Women","Model2",0.0556171330177763,0.0940506264482002,TRUE,4240,3402,838
3,"Women","Age",0.0603476086780792,0.0921127543244522,TRUE,4239,3410,829
3,"Women","Model1",0.0579956918186064,0.0934624454454711,TRUE,4239,3410,829
3,"Women","Model2",-0.0243916369839322,0.0955098737669519,TRUE,4239,3410,829
4,"Women","Age",0.172386453305489,0.0910687804929017,TRUE,4231,3400,831
4,"Women","Model1",0.165215294064613,0.0923741757557032,TRUE,4231,3400,831
4,"Women","Model2",0.0687448770844283,0.0946044627339688,TRUE,4231,3400,831
5,"Women","Age",0.120913464236195,0.0909619538320228,TRUE,4231,3389,842
5,"Women","Model1",0.112344634438229,0.0922822761638373,TRUE,4231,3389,842
5,"Women","Model2",0.0290287600561193,0.0941455636108245,TRUE,4231,3389,842
6,"Women","Age",0.123771414773758,0.0916057773666725,TRUE,4232,3399,833
6,"Women","Model1",0.1082697579064,0.0929233989925461,TRUE,4232,3399,833
6,"Women","Model2",0.0345606714361512,0.0947884357248981,TRUE,4232,3399,833
7,"Women","Age",0.0973532615887772,0.0910098892308217,TRUE,4233,3380,853
7,"Women","Model1",0.0877160836616006,0.0921674640888727,TRUE,4233,3380,853
7,"Women","Model2",0.0191775608001294,0.0940855501584324,TRUE,4233,3380,853
8,"Women","Age",0.0811304196841618,0.0914495685868692,TRUE,4239,3405,834
8,"Women","Model1",0.0736523198006003,0.0926040615387608,TRUE,4239,3405,834
8,"Women","Model2",-0.00583068816435125,0.0946466436198903,TRUE,4239,3405,834
9,"Women","Age",0.184484005256909,0.0907152229811208,TRUE,4251,3403,848
9,"Women","Model1",0.183221390590974,0.0918780429616141,TRUE,4251,3403,848
9,"Women","Model2",0.0989069608791033,0.0940133227896023,TRUE,4251,3403,848
10,"Women","Age",0.162943902603683,0.0899615440589985,TRUE,4236,3388,848
10,"Women","Model1",0.155828377587878,0.091357733949221,TRUE,4236,3388,848
10,"Women","Model2",0.0832122353279041,0.0933404232658678,TRUE,4236,3388,848
11,"Women","Age",0.148821289230712,0.0897276765124401,TRUE,4240,3396,844
11,"Women","Model1",0.143672410496881,0.0908870270284183,TRUE,4240,3396,844
11,"Women","Model2",0.068522531599479,0.0931621427208361,TRUE,4240,3396,844
12,"Women","Age",0.0463818631925032,0.0924560771058243,TRUE,4224,3384,840
