"imp","sex","model","log_rr","log_rr_se","term_present","n_total","n_no_dm","n_dm"
1,"Men","Age",0.0897847718324919,0.0841819646089943,TRUE,4030,3383,647
1,"Men","Model1",0.065718204155491,0.0842181744134687,TRUE,4030,3383,647
1,"Men","Model2",0.031422173967844,0.0846529237787596,TRUE,4030,3383,647
2,"Men","Age",0.14406728237295,0.082099109069601,TRUE,4059,3402,657
2,"Men","Model1",0.128320654628878,0.0821125391688936,TRUE,4059,3402,657
2,"Men","Model2",0.0929788014246844,0.0825308378880604,TRUE,4059,3402,657
3,"Men","Age",0.23214896885851,0.0771310676416594,TRUE,4068,3410,658
3,"Men","Model1",0.215564384656509,0.0772374965228665,TRUE,4068,3410,658
3,"Men","Model2",0.174540631743796,0.0777534170133521,TRUE,4068,3410,658
4,"Men","Age",0.253653541501304,0.0737960419913505,TRUE,4055,3400,655
4,"Men","Model1",0.244614117541444,0.0739378108242564,TRUE,4055,3400,655
4,"Men","Model2",0.192764764675391,0.0743985559230216,TRUE,4055,3400,655
5,"Men","Age",0.130658993262545,0.0739200860309616,TRUE,4047,3389,658
5,"Men","Model1",0.114605235842438,0.0740178966997787,TRUE,4047,3389,658
5,"Men","Model2",0.0720126417812076,0.0744407394285149,TRUE,4047,3389,658
6,"Men","Age",0.154147525877899,0.0778898098498305,TRUE,4054,3399,655
6,"Men","Model1",0.136417110101548,0.0780060590310885,TRUE,4054,3399,655
6,"Men","Model2",0.0866068170168396,0.0784741009240491,TRUE,4054,3399,655
7,"Men","Age",0.160289674618255,0.0831208676297873,TRUE,4037,3380,657
7,"Men","Model1",0.140863959732789,0.0831888919158862,TRUE,4037,3380,657
7,"Men","Model2",0.0914251850236896,0.0836494691250556,TRUE,4037,3380,657
8,"Men","Age",0.279036871317823,0.0714224182242126,TRUE,4059,3405,654
8,"Men","Model1",0.267513798044618,0.071519181070137,TRUE,4059,3405,654
8,"Men","Model2",0.21850835098454,0.0719583787846857,TRUE,4059,3405,654
9,"Men","Age",0.171060680425783,0.0763015990499806,TRUE,4046,3403,643
9,"Men","Model1",0.15774640979271,0.076407451816084,TRUE,4046,3403,643
9,"Men","Model2",0.111647066232391,0.0768644841789555,TRUE,4046,3403,643
10,"Men","Age",0.272745782714591,0.0844523450502679,TRUE,4045,3388,657
10,"Men","Model1",0.247388538160603,0.0845196056107221,TRUE,4045,3388,657
10,"Men","Model2",0.209831129282,0.0849457097469456,TRUE,4045,3388,657
11,"Men","Age",0.167794044542192,0.085536175186773,TRUE,4048,3396,652
11,"Men","Model1",0.14259408195953,0.0856046548178432,TRUE,4048,3396,652
11,"Men","Model2",0.105501997283987,0.0860705308295979,TRUE,4048,3396,652
12,"Men","Age",0.2134048619193,0.0685679102556492,TRUE,4045,3384,661
12,"Men","Model1",0.200534258682519,0.0686862677725083,TRUE,4045,3384,661
12,"Men","Model2",0.165882788589018,0.0690318502236153,TRUE,4045,3384,661
13,"Men","Age",0.153892394047281,0.0834251935809747,TRUE,4046,3387,659
13,"Men","Model1",0.132742148388798,0.0834942346047096,TRUE,4046,3387,659
13,"Men","Model2",0.0878017964598424,0.0839266500950107,TRUE,4046,3387,659
14,"Men","Age",0.196879257159277,0.081639759807166,TRUE,4036,3382,654
14,"Men","Model1",0.169429270797795,0.0816831995227213,TRUE,4036,3382,654
14,"Men","Model2",0.121942324957833,0.0821058206735206,TRUE,4036,3382,654
15,"Men","Age",0.251977777765684,0.085126056824233,TRUE,4045,3398,647
15,"Men","Model1",0.229964209213288,0.0851458607691532,TRUE,4045,3398,647
15,"Men","Model2",0.177361660595887,0.0855830858602074,TRUE,4045,3398,647
16,"Men","Age",0.249647538634441,0.0746340888131787,TRUE,4055,3387,668
16,"Men","Model1",0.232785261110482,0.0747760878719261,TRUE,4055,3387,668
16,"Men","Model2",0.182161360331896,0.075182359869744,TRUE,4055,3387,668
17,"Men","Age",0.286377404794757,0.0771532865762897,TRUE,4042,3392,650
17,"Men","Model1",0.266898672829335,0.0772558038208111,TRUE,4042,3392,650
17,"Men","Model2",0.223955670152379,0.0777079209568289,TRUE,4042,3392,650
18,"Men","Age",0.160077619730891,0.077898835338582,TRUE,4046,3388,658
18,"Men","Model1",0.141217405764621,0.078005896585571,TRUE,4046,3388,658
18,"Men","Model2",0.0908641748707347,0.0784745408690349,TRUE,4046,3388,658
19,"Men","Age",0.22249239253501,0.073306729094563,TRUE,4036,3390,646
19,"Men","Model1",0.206593726384475,0.0734314028387634,TRUE,4036,3390,646
19,"Men","Model2",0.187258462994412,0.0736892990609463,TRUE,4036,3390,646
20,"Men","Age",0.160041046604261,0.0845379792878541,TRUE,4047,3389,658
20,"Men","Model1",0.140643663384438,0.0845755539150926,TRUE,4047,3389,658
20,"Men","Model2",0.0938749338646273,0.0849910476846555,TRUE,4047,3389,658
21,"Men","Age",0.168520168903219,0.0750463262107103,TRUE,4047,3396,651
21,"Men","Model1",0.15419567410276,0.0751938797719832,TRUE,4047,3396,651
21,"Men","Model2",0.120838966524686,0.0755617194472209,TRUE,4047,3396,651
22,"Men","Age",0.205442418528019,0.0840522150941147,TRUE,4040,3384,656
22,"Men","Model1",0.179026992650085,0.0841143611574089,TRUE,4040,3384,656
22,"Men","Model2",0.144965340190598,0.0846119659477173,TRUE,4040,3384,656
23,"Men","Age",0.149185086494648,0.0883356680348112,TRUE,4053,3402,651
23,"Men","Model1",0.132711729479555,0.0884582945133931,TRUE,4053,3402,651
23,"Men","Model2",0.0923255243383606,0.0889897716936648,TRUE,4053,3402,651
24,"Men","Age",0.247790511708324,0.0795255260438763,TRUE,4034,3390,644
24,"Men","Model1",0.232058238949382,0.0796011073858904,TRUE,4034,3390,644
24,"Men","Model2",0.184939006691655,0.0800758742843149,TRUE,4034,3390,644
25,"Men","Age",0.138511658167166,0.0831031208794726,TRUE,4042,3382,660
25,"Men","Model1",0.120236949400655,0.0831779865273483,TRUE,4042,3382,660
25,"Men","Model2",0.0753182549806626,0.0835563581834048,TRUE,4042,3382,660
26,"Men","Age",0.167280147182505,0.080394730508452,TRUE,4038,3389,649
26,"Men","Model1",0.144474535474005,0.0804294472684936,TRUE,4038,3389,649
26,"Men","Model2",0.118314067992333,0.0808123620706258,TRUE,4038,3389,649
27,"Men","Age",0.175135646487188,0.0768634937751328,TRUE,4044,3402,642
27,"Men","Model1",0.154548466836041,0.0769299315770834,TRUE,4044,3402,642
27,"Men","Model2",0.104864428791002,0.0774322611289133,TRUE,4044,3402,642
28,"Men","Age",0.16822020930749,0.0813847087487136,TRUE,4053,3396,657
28,"Men","Model1",0.143152425633698,0.0814061501750697,TRUE,4053,3396,657
28,"Men","Model2",0.0980064089679477,0.081810558249314,TRUE,4053,3396,657
29,"Men","Age",0.179393344702187,0.0819591115423004,TRUE,4058,3395,663
29,"Men","Model1",0.160495186977348,0.0820095336283057,TRUE,4058,3395,663
29,"Men","Model2",0.116010172894342,0.0825678428145748,TRUE,4058,3395,663
30,"Men","Age",0.243469898716244,0.0767551152882266,TRUE,4048,3395,653
30,"Men","Model1",0.223172345415786,0.0768255608031512,TRUE,4048,3395,653
30,"Men","Model2",0.170168179840709,0.0772177230489804,TRUE,4048,3395,653
