"imp","sex","model","log_rr","log_rr_se","term_present","n_total","n_no_dm","n_dm"
1,"Women","Age",0.100515419639569,0.0772228190994931,TRUE,4240,3383,857
1,"Women","Model1",0.0897075803539343,0.0775085105511076,TRUE,4240,3383,857
1,"Women","Model2",0.0353296203077606,0.0776196205704183,TRUE,4240,3383,857
2,"Women","Age",0.106860989526645,0.0771163030625512,TRUE,4240,3402,838
2,"Women","Model1",0.10293932795977,0.0773681110294328,TRUE,4240,3402,838
2,"Women","Model2",0.0383622304115418,0.0775324663989714,TRUE,4240,3402,838
3,"Women","Age",0.0459150873169615,0.0788810389974827,TRUE,4239,3410,829
3,"Women","Model1",0.0430651738038113,0.0790773838353531,TRUE,4239,3410,829
3,"Women","Model2",-0.0160184163761538,0.0792139991732215,TRUE,4239,3410,829
4,"Women","Age",0.127707932574514,0.0776391599240253,TRUE,4231,3400,831
4,"Women","Model1",0.119205219778724,0.0778640099852687,TRUE,4231,3400,831
4,"Women","Model2",0.0457489962271313,0.0781294012450588,TRUE,4231,3400,831
5,"Women","Age",0.0906782806733504,0.0777627222799184,TRUE,4231,3389,842
5,"Women","Model1",0.0815893609153822,0.0780187555345585,TRUE,4231,3389,842
5,"Women","Model2",0.0198810968895853,0.0782156138521974,TRUE,4231,3389,842
6,"Women","Age",0.0930626545286997,0.078449712100265,TRUE,4232,3399,833
6,"Women","Model1",0.0788140320584753,0.0787685131480035,TRUE,4232,3399,833
6,"Women","Model2",0.0233952711781779,0.079007608680969,TRUE,4232,3399,833
7,"Women","Age",0.0731139420719729,0.0778991725516205,TRUE,4233,3380,853
7,"Women","Model1",0.0637733145643751,0.0781672786087477,TRUE,4233,3380,853
7,"Women","Model2",0.0136246540863022,0.0782740746413681,TRUE,4233,3380,853
8,"Women","Age",0.0605852334570799,0.0781766851971206,TRUE,4239,3405,834
8,"Women","Model1",0.0534689477956185,0.0784613250607893,TRUE,4239,3405,834
8,"Women","Model2",-0.00435115898615805,0.0785610459174147,TRUE,4239,3405,834
9,"Women","Age",0.137069970868248,0.0774960297400561,TRUE,4251,3403,848
9,"Women","Model1",0.132718009922735,0.0777240814293136,TRUE,4251,3403,848
9,"Women","Model2",0.0677419599854406,0.077899525347131,TRUE,4251,3403,848
10,"Women","Age",0.12046991144117,0.0765866964249389,TRUE,4236,3388,848
10,"Women","Model1",0.112088981002305,0.0768628275236333,TRUE,4236,3388,848
10,"Women","Model2",0.0567138757480406,0.0769446284516032,TRUE,4236,3388,848
11,"Women","Age",0.109381604411351,0.076113535683103,TRUE,4240,3396,844
11,"Women","Model1",0.103314349327575,0.0763091355175114,TRUE,4240,3396,844
11,"Women","Model2",0.046553056982032,0.0763822787172572,TRUE,4240,3396,844
12,"Women","Age",0.0358465127873956,0.0795158355204479,TRUE,4224,3384,840
12,"Women","Model1",0.0323766759615976,0.0796707474460954,TRUE,4224,3384,840
12,"Women","Model2",-0.0332441651583019,0.0797678022617207,TRUE,4224,3384,840
13,"Women","Age",0.125661775499437,0.0773888260674126,TRUE,4237,3387,850
13,"Women","Model1",0.12283728843879,0.0776412627752104,TRUE,4237,3387,850
